customerID,tenure,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn
8260-NGFNY,One,Month-to-month,No,Mailed check,25.2,25.2,Female,0,No,No,No,No phone service,DSL,No,No,No,No,No,No,Yes
2359-QWQUL,39,One year,Yes,Credit card (automatic),104.7,4134.85,Female,0,Yes,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes
6598/RFFVI,2,One year,No,Credit card (automatic),19.3,28.3,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
IXSTS-8780,6,Month-to-month,Yes,Electronic check,90.1,521.3,Female,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes
2674/MIAHT,Four,Month-to-month,Yes,Mailed check,80.3,324.2,Female,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,No
6077-BDPXA,3,Month-to-month,Yes,Electronic check,70.15,194.2,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,No
7929/SKFGK,70,Two year,No,Credit card (automatic),114.3,8244.3,Male,0,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No
7547-EKNFS,42,Month-to-month,Yes,Bank transfer (automatic),95.25,3959.35,Male,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Yes
5854-KSRBJ,70,Two year,No,Mailed check,25.4,1782.05,Male,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
5054-IEXZT,One,Month-to-month,Yes,Electronic check,75.35,75.35,Male,0,No,Yes,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes
1877-HKBQX,11,One year,Yes,Mailed check,54.6,617.85,Female,0,No,No,Yes,No,DSL,Yes,No,No,Yes,No,No,No
7235-NXZCP,2,Month-to-month,Yes,Mailed check,74.85,156.4,Male,1,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes
3325-FUYCG,28,One year,No,Electronic check,106.1,2847.4,Male,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes
2452-MRMZF,72,Two year,Yes,Credit card (automatic),25.7,NA,Female,1,Yes,No,Yes,Yes,No,Yes,Yes,No internet service,No internet service,Yes,No internet service,No
9184-GALIL,38,Month-to-month,No,Mailed check,20.45,781.25,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
9374-YOLBJ,One,Month-to-month,No,Electronic check,19.25,19.25,Female,0,Yes,Yes,Yes,No,No,Yes,Yes,No internet service,No internet service,Yes,No internet service,No
2612-PHGOX,64,Two year,Yes,Bank transfer (automatic),76.1,4818.8,Male,0,Yes,No,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,No
6874-SGLHU,30,One year,Yes,Bank transfer (automatic),97,3021.3,Male,0,No,No,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,No
9588-YRFHY,49,Two year,Yes,Credit card (automatic),19.9,1022.6,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
